012000005695,6/12Z,"DIET PEPSI CANS  6/12Z"
016000104105,"10 LBS","Gold Medal Flour 10 lb All-Purpose"
013300575338,6.3OZ,"GLADIOLA PANCAKE MIX"
000836200537,"25 S","Dulcolax Laxative Overnight Relief Tablets"
013120007927,"48 OZ","W/C OREIDA APPTZR VAR PK"
016600007103,12OZ,"ROSE'S LIME JUICE"
013700201219,"24 Ct","hefty twist tie garbage bags"
011210000353,"2 OZ","TABASCO PEPPER SCE SHPR"
013000001366,"2.5 OZ","HEINZ STR MEAT TURKEY"
016000455108,"37 OZ","Betty Crocker Pancake Mix Buttermilk Complete S14"
012587700327,3500*CT,"Glad Tall Kitchen Bags, 13 gal size, 35 count package"
000430204184,"18 Ct","Triaminic Cough Medicine Softchews Strawberry Tablets"
010700026248,,"SLD MC HEART"
013388250103,,"Marvel vs. Capcom 2 (Sega Dreamcast)"
013700822353,,"HEFTY ONE ZIP"
011132588052,"12/22 OZ","ALPO PRIME LONDON GRILL"
013800103345,"40 OZ","Stouffer's Family Style Favorites Macaroni & Cheese About 5 Servings"
013388260065,PS2,"Maximo Ghosts to Glory"
013000352604,"6 OZ","HEINZ 3 PEACH COBBLER"
016900043511,6/16Z,"CAN DRY G ALE 6PK NR WRAP"
013388220175,,"Marvel Super Heroes (Sega Saturn)"
000810746884,.5Z,"Neosporin Antibiotic Ointment Plus Pain Relief Maximum Strength"
011156054496,"12/30 CT","TETLEY FAM RD TEA BAG"
016000302501,"6.5 Z","muffin mix"
017000004280,2EACH,"TONE BATH SIZE YELLOW PP"
016000447004,"26.7 OZ","Betty Crocker Brownie Mix Supreme Frosted W/Chocolate Frosting S33"
011194365080,"14.5 OZ","S&W Tomatoes Crushed"
013800305244,4/96Z,"STOUF CORN PUDDING1907"
013300575338,6.3OZ,"GLADIOLA PANCAKE MIX"
012547636239,"36 EA","Efferdent Plus 36 tablets"
010158095087,"5.1 Oz","Dentu-Gel Denture Cleansing Toothpaste Minty Mouthwash Fresh Formula"
016000355200,01000C,"Betty Crocker Fruit Rollup, Peel & Build"
016000246904,"21 OZ","Betty Crocker Pop-Secret Microwave Popcorn Homestyle S2"
014500183279,6/10,"VEG-ALL PEA&CARROT18327"
000836200551,"50 Ct","Dulcolax Laxative Overnight Relief Tablets"
016000433106,"20 oz","Betty Crocker Cake Mix Supermoist Chocolate Chip S88"
005806001251,,POTATOES
016000884908,"36 OZ","GM KIX BANDED PACK"
017000006956,"15 OZ","Dial Soap Liquid Antibacterial W/Lotion Refill"
011132095512,8.3LB,"CHEFS BLEND DRY CF BONUS"
015000049355,"2.5 OZ","Gerber 1st Foods Baby Food Bananas"
016000477803,"41.5 Oz","Nature Valley Granola Bars Crunchy Peanut Butter 28 Ct S11"
013800101365,"40 OZ","STOUF ESC FS CHICK/NOODLES"
000258340156,100CT,SWEETMATE
011111950757,"7.5 Floz: 221ml","Suave Antibacterial Hand Soap in a Dispenser of Suave Antibacterial Hand Soap"
005806001428,,"RED POTATOES"
013700081514,,"??       Plates"
016000492400,00800C,"Sweet Rewards Bars, Strawberry"
013000000185,"4.7 Z","HEINZ OATML APL/BAN/STRW"
000430127407,"40 Ct","Ex-Lax Stool Softener Stimulant-Free Caplets"
000200059907,EACH,"LET'S SUBTRACT NUMBERS (L1)"
000870456020,"100 Ct","Poly-Vi-Sol Multivitamin W/Iron Chewable Tablets"
012044373903,"3.4 oz","Old Spice PSC HGEL"
000200059068,"1 EA","LRNNG HRZNS SCIENCEWRKBK"
014100070139,12.0Z,"PEP FARM SANDWCH POCKETS 6P"
